Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,Datetime,Hour,Day,DayOfWeek,Month,IsWeekend,Lag_1,Lag_24,RollingMean_6,RollingMean_24,Device_Total_Consumption,Device_Avg_Consumption,Device_Max_Consumption,Device_Min_Consumption
4.474,0.0,234.96,19.4,0.0,0.0,17.0,2006-12-16 17:48:00,17.0,16.0,5.0,12.0,1.0,5.174,4.216,5.667000000000001,4.574916666666667,17.0,5.666666666666667,17.0,0.0
3.248,0.0,236.66,13.6,0.0,0.0,17.0,2006-12-16 17:49:00,17.0,16.0,5.0,12.0,1.0,4.474,5.36,5.587,4.486916666666667,17.0,5.666666666666667,17.0,0.0
3.236,0.0,235.84,13.6,0.0,0.0,17.0,2006-12-16 17:50:00,17.0,16.0,5.0,12.0,1.0,3.248,5.374,5.144,4.397833333333334,17.0,5.666666666666667,17.0,0.0
3.228,0.0,235.6,13.6,0.0,0.0,17.0,2006-12-16 17:51:00,17.0,16.0,5.0,12.0,1.0,3.236,5.388,4.397666666666667,4.307833333333334,17.0,5.666666666666667,17.0,0.0
3.258,0.0,235.49,13.8,0.0,0.0,17.0,2006-12-16 17:52:00,17.0,16.0,5.0,12.0,1.0,3.228,3.666,3.7696666666666654,4.2908333333333335,17.0,5.666666666666667,17.0,0.0
3.178,0.0,235.28,13.4,0.0,0.0,17.0,2006-12-16 17:53:00,17.0,16.0,5.0,12.0,1.0,3.258,3.52,3.437,4.276583333333334,17.0,5.666666666666667,17.0,0.0
2.72,0.0,235.06,11.6,0.0,0.0,17.0,2006-12-16 17:54:00,17.0,16.0,5.0,12.0,1.0,3.178,3.702,3.1446666666666663,4.235666666666667,17.0,5.666666666666667,17.0,0.0
3.758,0.076,234.17,16.4,0.0,0.0,17.0,2006-12-16 17:55:00,17.0,16.0,5.0,12.0,1.0,2.72,3.7,3.2296666666666667,4.238083333333333,17.0,5.666666666666667,17.0,0.0
4.342,0.09,233.77,18.4,0.0,0.0,16.0,2006-12-16 17:56:00,17.0,16.0,5.0,12.0,1.0,3.758,3.668,3.414,4.266166666666667,16.0,5.333333333333333,16.0,0.0
4.512,0.0,233.62,19.2,0.0,0.0,17.0,2006-12-16 17:57:00,17.0,16.0,5.0,12.0,1.0,4.342,3.662,3.628,4.301583333333333,17.0,5.666666666666667,17.0,0.0
4.058,0.2,234.68,17.6,0.0,0.0,17.0,2006-12-16 17:58:00,17.0,16.0,5.0,12.0,1.0,4.512,4.448,3.761333333333333,4.285333333333333,17.0,5.666666666666667,17.0,0.0
2.472,0.058,236.94,10.4,0.0,0.0,17.0,2006-12-16 17:59:00,17.0,16.0,5.0,12.0,1.0,4.058,5.412,3.643666666666667,4.162833333333333,17.0,5.666666666666667,17.0,0.0
2.79,0.18,237.52,11.8,0.0,0.0,18.0,2006-12-16 18:00:00,18.0,16.0,5.0,12.0,1.0,2.472,5.224,3.655333333333333,4.061416666666667,18.0,6.0,18.0,0.0
2.624,0.144,238.2,11.0,0.0,0.0,17.0,2006-12-16 18:01:00,18.0,16.0,5.0,12.0,1.0,2.79,5.268,3.466333333333333,3.95125,17.0,5.666666666666667,17.0,0.0
